2024-01-03|08:15:22|Paycheck Deposit|Walmart|1850.00
2024-01-04|13:42:09|Groceries|Aldi|-96.34
2024-01-09|18:30:45|Electric Bill|Duke Energy|-124.88
2024-01-12|11:02:55|Gasoline|Shell Station|-43.25
2024-01-15|08:05:10|Cash App Transfer In|Maria Lopez|75.00
2024-01-20|19:18:20|Dinner Out|Olive Garden|-58.60
2024-02-01|08:14:00|Paycheck Deposit|Walmart|1850.00
2024-02-03|09:47:19|Phone Bill|T-Mobile|-79.99
2024-02-10|10:21:30|Freelance Payment|Fiverr Client|120.00
2024-02-16|14:32:15|Groceries|Walmart Supercenter|-110.72
2024-03-01|08:13:33|Paycheck Deposit|Walmart|1850.00
2024-03-06|17:55:12|Rent Payment|Maple Apartments|-900.00
2024-03-09|19:44:44|Movie Night|AMC Theatres|-28.50
2024-03-15|13:23:09|Refund|Amazon|45.32
2024-03-26|08:33:10|Internet Bill|Spectrum|-64.99
2024-04-01|08:10:45|Paycheck Deposit|Walmart|1850.00
2024-04-03|09:00:00|Gasoline|BP Station|-47.80
2024-04-11|20:11:11|Birthday Gift|Cousin Ana|-50.00
2024-04-22|16:45:00|Freelance Payment|Upwork|240.00
2024-05-01|08:15:25|Paycheck Deposit|Walmart|1850.00
2024-05-04|13:00:00|Groceries|Aldi|-101.89
2024-05-09|12:33:33|Coffee|Starbucks|-6.75
2024-05-18|19:05:05|Clothes Shopping|Old Navy|-88.20
2024-05-23|11:11:11|Cash App Transfer Out|Brother|-50.00
2024-06-01|08:17:45|Paycheck Deposit|Walmart|1850.00
2024-06-05|15:45:30|Car Insurance|Progressive|-132.44
2024-06-14|09:25:50|Freelance Payment|Fiverr Client|180.00
2024-07-01|08:18:18|Paycheck Deposit|Walmart|1850.00
2024-07-05|10:30:45|Groceries|Target|-97.60
2024-07-10|12:15:00|Streaming Subscription|Netflix|-15.99
2024-07-17|18:12:22|Dinner Out|Chili’s|-42.89
2024-08-01|08:16:30|Paycheck Deposit|Walmart|1850.00
2024-08-04|09:50:09|Gasoline|Shell Station|-41.20
2024-08-16|11:41:45|Freelance Payment|Upwork|210.00
2024-08-27|17:30:00|Electric Bill|Duke Energy|-118.12
2024-09-01|08:14:55|Paycheck Deposit|Walmart|1850.00
2024-09-05|13:30:20|Groceries|Aldi|-92.77
2024-09-11|14:10:40|New Shoes|Foot Locker|-75.00
2024-10-01|08:15:00|Paycheck Deposit|Walmart|1850.00
2024-10-12|19:22:33|Dinner Out|Applebee’s|-57.30

